Дата;Признак портфеля;Вид имущества;Номер и дата договора;Наименование фонда;Тип актива;Эмитент / Контрагент;ИНН Контрагента / Эмитента;Рег. номер;ISIN;Краткое наименование инструмента;Полное наименование инструмента;Номинал;Валюта;Количество (без учета РЕПО);Сумма без НКД;НКД, руб.;Сумма с НКД, руб.;Дата погашения депозита;Текущая процентная ставка по депозиту;Вид процентной ставки по депозиту;Лучший рейтинг инструмента;Рейтинговое агентство инструмента;Лучший рейтинг эмитента;Рейтинговое агентство эмитента;Метод учета
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Денежные средства на расчетных счетах;Филиал Банка ВТБ (ПАО) в г.Москве;7702070139;;;Филиал Банка ВТБ (ПАО) в г.Москве ;Филиал Банка ВТБ (ПАО) в г.Москве;;RUB;;78 830,27;0;78 830,27;;;;;;;;не применимо
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Прочая дебиторская задолженность;МКПАО "Яндекс";3900019850;1-01-16777-A;RU000A107T19;МКПАО "Яндекс" 1-01-16777-A;Акция МКПАО "Яндекс" 1-01-16777-A;0,4;RUB;;10 033 540;0;10 033 540;;;;;;ruAAA;АКРА;не применимо
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Прочая дебиторская задолженность;ПАО "НОВАТЭК";6316031581;1-02-00268-E;RU000A0DKVS5;ПАО "НОВАТЭК" 1-02-00268-E;Акция ПАО "НОВАТЭК" 1-02-00268-E;0,1;RUB;;9 980 265,76;0;9 980 265,76;;;;;;ruAAA;АКРА;не применимо
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Прочая дебиторская задолженность;ООО "БК РЕГИОН";7708207809;;;ООО "БК РЕГИОН" ;ООО "БК РЕГИОН";;RUB;;2 195,97;0;2 195,97;;;;;;;;не применимо
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Прочая дебиторская задолженность;ООО "БК РЕГИОН";7708207809;;;ООО "БК РЕГИОН" ;ООО "БК РЕГИОН";;RUB;;7 025,83;0;7 025,83;;;;;;;;не применимо
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Денежные средства на брокерских счетах;ООО "БК РЕГИОН";7708207809;;;ООО "БК РЕГИОН" ;ООО "БК РЕГИОН";;RUB;;256 689,13;0;256 689,13;;;;;;;;не применимо
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Прочая дебиторская задолженность;Минфин России;7710168360;26243RMFS;RU000A106E90;Минфин России 26243RMFS;Облигация Минфин России 26243RMFS;1 000;RUB;;773,07;0;773,07;28.04.2026 0:00:00;14,82;С выплатой в конце срока;;;Снят;АКРА;не применимо
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Дебиторская задолженность по РЕПО;Минфин России;7710168360;26243RMFS;RU000A106E90;Минфин России 26243RMFS;Облигация Минфин России 26243RMFS;1 000;RUB;;729 311 600;0;729 311 600;28.04.2026 0:00:00;14,82;С выплатой в конце срока;;;Снят;АКРА;не применимо
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Прочая дебиторская задолженность;Минфин России;7710168360;26243RMFS;RU000A106E90;Минфин России 26243RMFS;Облигация Минфин России 26243RMFS;1 000;RUB;;1 531,55;0;1 531,55;28.04.2026 0:00:00;14,82;С выплатой в конце срока;;;Снят;АКРА;не применимо
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Прочая дебиторская задолженность;Минфин России;7710168360;29025RMFS;RU000A106Z61;Минфин России 29025RMFS;Облигация Минфин России 29025RMFS;1 000;RUB;;4 446,7;0;4 446,7;28.04.2026 0:00:00;14,8;С выплатой в конце срока;;;Снят;АКРА;не применимо
