Дата;Признак портфеля;Вид имущества;Номер и дата договора;Наименование фонда;Тип актива;Эмитент / Контрагент;ИНН Контрагента / Эмитента;Рег. номер;ISIN;Краткое наименование инструмента;Полное наименование инструмента;Номинал;Валюта;Количество (без учета РЕПО);Сумма без НКД;НКД, руб.;Сумма с НКД, руб.;Дата погашения депозита;Текущая процентная ставка по депозиту;Вид процентной ставки по депозиту;Лучший рейтинг инструмента;Рейтинговое агентство инструмента;Лучший рейтинг эмитента;Рейтинговое агентство эмитента;Метод учета
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Акции;МКПАО "Яндекс";3900019850;1-01-16777-A;RU000A107T19;МКПАО "Яндекс" 1-01-16777-A;Акция МКПАО "Яндекс" 1-01-16777-A;0,4;RUB;91 214;379 176 598;0;379 176 598;;;;;;ruAAA;АКРА;по справедливой
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Акции;ПАО "Газпром";7736050003;1-02-00028-A;RU0007661625;ПАО "Газпром" 1-02-00028-A;Акция ПАО "Газпром" 1-02-00028-A;5;RUB;10 081 290;1 247 358 011,7;0;1 247 358 011,7;;;;;;ruAAA;АКРА;по справедливой
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Акции;ПАО "ЛУКОЙЛ";7708004767;1-01-00077-A;RU0009024277;ПАО "ЛУКОЙЛ" 1-01-00077-A;Акция ПАО "ЛУКОЙЛ" 1-01-00077-A;0,025;RUB;86 700;480 144 600;0;480 144 600;;;;;;ruAAA;АКРА;по справедливой
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Акции;ПАО "НОВАТЭК";6316031581;1-02-00268-E;RU000A0DKVS5;ПАО "НОВАТЭК" 1-02-00268-E;Акция ПАО "НОВАТЭК" 1-02-00268-E;0,1;RUB;176 997;208 573 264,8;0;208 573 264,8;;;;;;ruAAA;АКРА;по справедливой
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Акции;ПАО Сбербанк;7707083893;10301481B;RU0009029540;ПАО Сбербанк 10301481B;Акция ПАО Сбербанк 10301481B;3;RUB;10 519 332;3 400 689 648,96;0;3 400 689 648,96;;;;;;AAA(RU);АКРА;по справедливой
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Акции;ПАО "Северсталь";3528000597;1-02-00143-A;RU0009046510;ПАО "Северсталь" 1-02-00143-A;Акция ПАО "Северсталь" 1-02-00143-A;0,01;RUB;455 157;361 485 689,4;0;361 485 689,4;;;;;;ruAAA;АКРА;по справедливой
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Акции;ПАО "Интер РАО";2320109650;1-04-33498-E;RU000A0JPNM1;ПАО "Интер РАО" 1-04-33498-E;Акция ПАО "Интер РАО" 1-04-33498-E;2,809767;RUB;1 192 257 000;3 850 393 981,5;0;3 850 393 981,5;;;;;;ruAAA;RAEX;по справедливой
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Акции;ПАО Московская Биржа;7702077840;1-05-08443-H;RU000A0JR4A1;ПАО Московская Биржа 1-05-08443-H;Акция ПАО Московская Биржа 1-05-08443-H;1;RUB;7 903 340;1 362 140 649;0;1 362 140 649;;;;;;ruAAA;АКРА;по справедливой
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Облигации корпоративные;ПАО "Ростелеком";7707049388;4B02-03-00124-A-002P;RU000A101FG8;ПАО "Ростелеком" 4B02-03-00124-A-002P;Облигация ПАО "Ростелеком" 4B02-03-00124-A-002P;1 000;RUB;120 278;108 290 136,19;1 642 997,48;109 933 133,67;;;;AAA(RU);АКРА;ruAAA;АКРА;по амортизированной
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Облигации субфедеральные;Комитет финансов;7830002430;RU35002GSP0;RU000A0ZYKJ1;Комитет финансов RU35002GSP0;Облигация Комитет финансов RU35002GSP0;250;RUB;1 419 800;328 856 990,55;10 634 302;339 491 292,55;;;;AAA(RU);АКРА;ruAAA;АКРА;по амортизированной
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Государственные ЦБ;Минфин России;7710168360;26233RMFS;RU000A101F94;Минфин России 26233RMFS;Облигация Минфин России 26233RMFS;1 000;RUB;12 626 300;11 697 819 502,93;187 879 344;11 885 698 846,93;;;;;;Снят;АКРА;по амортизированной
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Облигации корпоративные;АО "ГТЛК";7720261827;4B02-17-32432-H-001P;RU000A101QL5;АО "ГТЛК" 4B02-17-32432-H-001P;Облигация АО "ГТЛК" 4B02-17-32432-H-001P;1 000;RUB;8 000;7 764 601,69;102 720;7 867 321,69;;;;AA-(RU);АКРА;ruAA-;АКРА;по амортизированной
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Облигации субфедеральные;Минфин КК;2308040000;RU35003KND0;RU000A1011B5;Минфин КК RU35003KND0;Облигация Минфин КК RU35003KND0;400;RUB;2 066 095;773 624 677,61;12 747 806,15;786 372 483,76;;;;ruAA+;RAEX;ruAA+;RAEX;по амортизированной
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Государственные ЦБ;Минфин России;7710168360;52003RMFS;RU000A102069;Минфин России 52003RMFS;Облигация Минфин России 52003RMFS;1 568,52;RUB;41 200;53 636 463,69;424 772;54 061 235,69;;;;;;Снят;АКРА;по справедливой
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Облигации субфедеральные;Комитет финансов;7830002430;RU35003GSP0;RU000A102A15;Комитет финансов RU35003GSP0;Облигация Комитет финансов RU35003GSP0;500;RUB;1 226 086;610 079 338,67;1 324 172,88;611 403 511,55;;;;AAA(RU);АКРА;ruAAA;АКРА;по амортизированной
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Государственные ЦБ;Минфин России;7710168360;29018RMFS;RU000A102A31;Минфин России 29018RMFS;Облигация Минфин России 29018RMFS;1 000;RUB;4 200 000;4 089 120 000;92 610 000;4 181 730 000;;;;;;Снят;АКРА;по справедливой
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Государственные ЦБ;Минфин России;7710168360;29020RMFS;RU000A102BV4;Минфин России 29020RMFS;Облигация Минфин России 29020RMFS;1 000;RUB;6 250 000;6 252 812 500;83 312 500;6 336 125 000;;;;;;Снят;АКРА;по справедливой
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Государственные ЦБ;Минфин России;7710168360;26235RMFS;RU000A1028E3;Минфин России 26235RMFS;Облигация Минфин России 26235RMFS;1 000;RUB;5 023 758;4 470 781 936,98;32 503 714,26;4 503 285 651,24;;;;;;Снят;АКРА;по амортизированной
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Облигации субфедеральные;МЭФ Московской области;5000001451;RU35015MOO0;RU000A102CR0;МЭФ Московской области RU35015MOO0;Облигация МЭФ Московской области RU35015MOO0;300;RUB;171 170;47 795 027,79;636 752,4;48 431 780,19;;;;AAA(RU);АКРА;AAA(RU);АКРА;по амортизированной
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Облигации субфедеральные;Министерство финансов Свердловской области;6661004608;RU35009SVS0;RU000A102CT6;Министерство финансов Свердловской области RU35009SVS0;Облигация Министерство финансов Свердловской области RU35009SVS0;400;RUB;6 000;2 099 941,6;30 840;2 130 781,6;;;;AA+(RU);АКРА;AA+(RU);АКРА;по амортизированной
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Государственные ЦБ;Минфин России;7710168360;26236RMFS;RU000A102BT8;Минфин России 26236RMFS;Облигация Минфин России 26236RMFS;1 000;RUB;13 612 992;12 807 438 641,65;338 010 591,36;13 145 449 233,01;;;;;;Снят;АКРА;по амортизированной
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Облигации корпоративные;ОАО "РЖД";7708503727;4-03-65045-D-001P;RU000A102564;ОАО "РЖД" 4-03-65045-D-001P;Облигация ОАО "РЖД" 4-03-65045-D-001P;1 000;RUB;12 800;12 153 528,06;192 768;12 346 296,06;;;;AA+(RU);АКРА;ruAAA;АКРА;по справедливой
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Облигации корпоративные;ОАО "РЖД";7708503727;4B02-21-65045-D-001P;RU000A102QP4;ОАО "РЖД" 4B02-21-65045-D-001P;Облигация ОАО "РЖД" 4B02-21-65045-D-001P;1 000;RUB;1 944;1 692 486,26;49 610,88;1 742 097,14;;;;AAA(RU);АКРА;ruAAA;АКРА;по амортизированной
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Облигации корпоративные;АО РОСЭКСИМБАНК;7704001959;4B02-03-02790-B-002P;RU000A101UE2;АО РОСЭКСИМБАНК 4B02-03-02790-B-002P;Облигация АО РОСЭКСИМБАНК 4B02-03-02790-B-002P;1 000;RUB;1 800 000;1 797 498 863,58;41 256 000;1 838 754 863,58;;;;;;ruAA+;АКРА;по амортизированной
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Облигации корпоративные;ООО "ДОМ.РФ Ипотечный агент";7727290538;4B02-03-00307-R-001P;RU000A102GD1;ООО "ДОМ.РФ Ипотечный агент" 4B02-03-00307-R-001P;Облигация ООО "ДОМ.РФ Ипотечный агент" 4B02-03-00307-R-001P;227,93;RUB;1 000 000;189 181 900;1 120 000;190 301 900;;;;AAA(RU);АКРА;;;по справедливой
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Облигации корпоративные;ВЭБ.РФ;7750004150;4B02-332-00004-T-001P;RU000A1031S7;ВЭБ.РФ 4B02-332-00004-T-001P;Облигация ВЭБ.РФ 4B02-332-00004-T-001P;1 000;RUB;10 515 810;10 505 118 452,55;14 091 185,4;10 519 209 637,95;;;;AAA(RU);АКРА;AAA(RU);АКРА;по амортизированной
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Облигации корпоративные;ООО "Газпром капитал";7726588547;4-02-36400-R-001P;RU000A1039A8;ООО "Газпром капитал" 4-02-36400-R-001P;Облигация ООО "Газпром капитал" 4-02-36400-R-001P;1 000 000;RUB;2 030;1 970 521 000;117 805 629,9;2 088 326 629,9;;;;AA+(RU);АКРА;ruAAA;АКРА;по справедливой
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Государственные ЦБ;Минфин России;7710168360;26239RMFS;RU000A103901;Минфин России 26239RMFS;Облигация Минфин России 26239RMFS;1 000;RUB;12 753 000;11 281 146 211,35;214 632 990;11 495 779 201,35;;;;;;Снят;АКРА;по амортизированной
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Государственные ЦБ;Минфин России;7710168360;26238RMFS;RU000A1038V6;Минфин России 26238RMFS;Облигация Минфин России 26238RMFS;1 000;RUB;24 636 126;18 062 942 986,35;694 738 753,2;18 757 681 739,55;;;;;;Снят;АКРА;по амортизированной
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Облигации корпоративные;ОАО "РЖД";7708503727;4B02-23-65045-D-001P;RU000A103EN3;ОАО "РЖД" 4B02-23-65045-D-001P;Облигация ОАО "РЖД" 4B02-23-65045-D-001P;1 000;RUB;12 308 080;12 294 480 606,31;277 916 446,4;12 572 397 052,71;;;;AAA(RU);АКРА;ruAAA;АКРА;по амортизированной
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Государственные ЦБ;Минфин России;7710168360;26237RMFS;RU000A1038Z7;Минфин России 26237RMFS;Облигация Минфин России 26237RMFS;1 000;RUB;1 210 700;1 118 000 172,7;8 886 538;1 126 886 710,7;;;;;;Снят;АКРА;по амортизированной
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Государственные ЦБ;Минфин России;7710168360;26240RMFS;RU000A103BR0;Минфин России 26240RMFS;Облигация Минфин России 26240RMFS;1 000;RUB;16 656 470;13 166 372 058,55;239 520 038,6;13 405 892 097,15;;;;;;Снят;АКРА;по амортизированной
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Облигации корпоративные;ПАО Сбербанк;7707083893;4B02-475-01481-B-001P;RU000A103G59;ПАО Сбербанк 4B02-475-01481-B-001P;Облигация ПАО Сбербанк 4B02-475-01481-B-001P;1 000;RUB;1 000 000;999 544 066,36;17 710 000;1 017 254 066,36;;;;AAA(RU);АКРА;AAA(RU);АКРА;по амортизированной
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Облигации корпоративные;ПАО АФК "Система";7703104630;4B02-22-01669-A-001P;RU000A103P33;ПАО АФК "Система" 4B02-22-01669-A-001P;Облигация ПАО АФК "Система" 4B02-22-01669-A-001P;1 000;RUB;4 341 400;4 335 175 591,11;47 798 814;4 382 974 405,11;;;;AA-(RU);АКРА;ruAA-;АКРА;по амортизированной
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Облигации корпоративные;ПАО "НГК "Славнефть";7707017509;4B02-02-00221-A-002P;RU000A103PG3;ПАО "НГК "Славнефть" 4B02-02-00221-A-002P;Облигация ПАО "НГК "Славнефть" 4B02-02-00221-A-002P;1 000;RUB;2 130 000;2 127 338 619,67;21 704 700;2 149 043 319,67;;;;ruAA;RAEX;ruAA;АКРА;по амортизированной
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Облигации корпоративные;ПАО "Сегежа Групп";9703024202;4B02-02-87154-H-002P;RU000A1043G7;ПАО "Сегежа Групп" 4B02-02-87154-H-002P;Облигация ПАО "Сегежа Групп" 4B02-02-87154-H-002P;1 000;RUB;3 080 500;2 828 158 010,74;130 982 860;2 959 140 870,74;;;;ruBB-;RAEX;ruBB-;RAEX;по амортизированной
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Облигации корпоративные;ОАО "РЖД";7708503727;4B02-25-65045-D-001P;RU000A104SY8;ОАО "РЖД" 4B02-25-65045-D-001P;Облигация ОАО "РЖД" 4B02-25-65045-D-001P;1 000;RUB;2 905 400;2 901 903 973,77;168 193 606;3 070 097 579,77;;;;AAA(RU);АКРА;ruAAA;АКРА;по амортизированной
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Облигации корпоративные;ВЭБ.РФ;7750004150;4B02-431-00004-T-001P;RU000A104Z63;ВЭБ.РФ 4B02-431-00004-T-001P;Облигация ВЭБ.РФ 4B02-431-00004-T-001P;1 000;RUB;2 300 000;2 297 189 568,94;64 906 000;2 362 095 568,94;;;;AAA(RU);АКРА;AAA(RU);АКРА;по амортизированной
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Государственные ЦБ;Минфин России;7710168360;26241RMFS;RU000A105FZ9;Минфин России 26241RMFS;Облигация Минфин России 26241RMFS;1 000;RUB;3 949 284;3 853 214 474,37;156 233 675,04;4 009 448 149,41;;;;;;Снят;АКРА;по амортизированной
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Государственные ЦБ;Минфин России;7710168360;26242RMFS;RU000A105RV3;Минфин России 26242RMFS;Облигация Минфин России 26242RMFS;1 000;RUB;218 000;171 593 965,69;2 903 760;174 497 725,69;;;;;;Снят;АКРА;по амортизированной
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Государственные ЦБ;Минфин России;7710168360;26243RMFS;RU000A106E90;Минфин России 26243RMFS;Облигация Минфин России 26243RMFS;1 000;RUB;13 811 000;12 739 716 234,69;537 662 230;13 277 378 464,69;;;;;;Снят;АКРА;по амортизированной
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Облигации корпоративные;ОАО "РЖД";7708503727;4B02-31-65045-D-001P;RU000A108124;ОАО "РЖД" 4B02-31-65045-D-001P;Облигация ОАО "РЖД" 4B02-31-65045-D-001P;1 000;RUB;2 242 000;2 239 910 023,04;37 015 420;2 276 925 443,04;;;;AAA(RU);АКРА;ruAAA;АКРА;по амортизированной
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Государственные ЦБ;Минфин России;7710168360;26247RMFS;RU000A108EF8;Минфин России 26247RMFS;Облигация Минфин России 26247RMFS;1 000;RUB;23 724 260;20 059 183 972,75;1 210 174 502,6;21 269 358 475,35;;;;;;Снят;АКРА;по амортизированной
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Государственные ЦБ;Минфин России;7710168360;26248RMFS;RU000A108EH4;Минфин России 26248RMFS;Облигация Минфин России 26248RMFS;1 000;RUB;10 516 775;8 941 154 300,4;511 746 271,5;9 452 900 571,9;;;;;;Снят;АКРА;по амортизированной
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Государственные ЦБ;Минфин России;7710168360;26246RMFS;RU000A108EE1;Минфин России 26246RMFS;Облигация Минфин России 26246RMFS;1 000;RUB;7 796 611;6 632 109 042,41;84 593 229,35;6 716 702 271,76;;;;;;Снят;АКРА;по амортизированной
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Государственные ЦБ;Минфин России;7710168360;26245RMFS;RU000A108EG6;Минфин России 26245RMFS;Облигация Минфин России 26245RMFS;1 000;RUB;18 345 786;15 733 504 028,82;114 661 162,5;15 848 165 191,32;;;;;;Снят;АКРА;по амортизированной
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Облигации корпоративные;ОАО "РЖД";7708503727;4B02-35-65045-D-001P;RU000A10ASZ7;ОАО "РЖД" 4B02-35-65045-D-001P;Облигация ОАО "РЖД" 4B02-35-65045-D-001P;1 000;RUB;2 650 000;2 647 678 988,33;39 405 500;2 687 084 488,33;;;;AAA(RU);АКРА;ruAAA;АКРА;по амортизированной
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Облигации корпоративные;ПАО "Банк ПСБ";7744000912;4B02-13-03251-B-003P;RU000A10BFF4;ПАО "Банк ПСБ" 4B02-13-03251-B-003P;Облигация ПАО "Банк ПСБ" 4B02-13-03251-B-003P;1 000;RUB;1 665 100;1 663 396 895,27;9 191 352;1 672 588 247,27;;;;AAA(RU);АКРА;ruAAA;АКРА;по амортизированной
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Государственные ЦБ;Минфин России;7710168360;26250RMFS;RU000A10BVH7;Минфин России 26250RMFS;Облигация Минфин России 26250RMFS;1 000;RUB;16 679 286;14 856 667 103,53;680 014 490,22;15 536 681 593,75;;;;;;Снят;АКРА;по амортизированной
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Государственные ЦБ;Минфин России;7710168360;26249RMFS;RU000A10BVC8;Минфин России 26249RMFS;Облигация Минфин России 26249RMFS;1 000;RUB;2 137 840;1 818 491 078,37;79 891 080,8;1 898 382 159,17;;;;;;Снят;АКРА;по амортизированной
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Облигации корпоративные;ПАО "Банк ПСБ";7744000912;4B02-01-03251-B-004P;RU000A10CP78;ПАО "Банк ПСБ" 4B02-01-03251-B-004P;Облигация ПАО "Банк ПСБ" 4B02-01-03251-B-004P;1 000;RUB;1 050 000;1 049 114 619,32;8 200 500;1 057 315 119,32;;;;AAA(RU);АКРА;ruAAA;АКРА;по амортизированной
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Государственные ЦБ;Минфин России;7710168360;26251RMFS;RU000A10CKT3;Минфин России 26251RMFS;Облигация Минфин России 26251RMFS;1 000;RUB;1 591 000;1 331 750 215,4;22 353 550;1 354 103 765,4;;;;;;Снят;АКРА;по амортизированной
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Государственные ЦБ;Минфин России;7710168360;26252RMFS;RU000A10D4Y2;Минфин России 26252RMFS;Облигация Минфин России 26252RMFS;1 000;RUB;1 623 480;1 472 536 263,51;2 776 150,8;1 475 312 414,31;;;;;;Снят;АКРА;по амортизированной
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Государственные ЦБ;Минфин России;7710168360;26212RMFS;RU000A0JTK38;Минфин России 26212RMFS;Облигация Минфин России 26212RMFS;1 000;RUB;31 590;27 070 900,18;585 678,6;27 656 578,78;;;;;;Снят;АКРА;по амортизированной
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Государственные ЦБ;Минфин России;7710168360;26226RMFS;RU000A0ZZYW2;Минфин России 26226RMFS;Облигация Минфин России 26226RMFS;1 000;RUB;17 500;16 649 768,7;72 450;16 722 218,7;;;;;;Снят;АКРА;по амортизированной
